num_personas,num_vehiculos,num_motocicleta,num_bicis,num_camiones,num_autobuses,num_peatones,num_pasajeros,num_hombres,num_mujeres,max_lesividad,coord_x,coord_y,distrito,droga_alcohol,tiempo_desfavorable,noche
1,1,0,0,0,0,0,1,1,0,0,440442.0,4470335.0,USERA,1,0,1
3,3,0,0,0,0,0,3,3,0,0,441502.0,4478998.0,TETUÁN,0,1,0
2,0,2,0,0,0,1,1,0,2,2,442959.0,4471395.0,PUENTE DE VALLECAS,0,0,0
2,2,0,0,0,0,0,2,2,0,0,439712.0,4465531.0,VILLAVERDE,0,1,0
2,2,0,0,0,0,1,1,1,1,0,440208.0,4470165.0,USERA,0,1,0
2,1,0,0,1,0,0,2,0,2,1,439950.0,4471495.0,USERA,0,1,0
1,1,0,0,0,0,0,1,0,1,2,443174.0,4473636.0,RETIRO,0,1,0
2,1,0,1,0,0,0,2,2,0,2,440364.0,4478099.0,TETUÁN,0,1,0
2,2,0,0,0,0,0,2,1,1,0,437710.0,4471888.0,CARABANCHEL,0,1,0
2,2,0,0,0,0,0,2,2,0,0,443183.0,4472201.0,RETIRO,0,1,0
1,1,0,0,0,0,0,1,1,0,0,441341.0,4470249.0,USERA,0,1,0
1,1,0,0,0,0,0,1,1,0,0,449722.0,4477849.0,SAN BLAS-CANILLEJAS,1,0,0
3,1,2,0,0,0,0,3,1,2,2,443924.0,4475859.0,SALAMANCA,1,0,0
2,2,0,0,0,0,0,2,2,0,0,450086.0,4479974.0,BARAJAS,0,1,0
3,1,0,0,2,0,0,3,2,1,1,439413.0,4476323.0,CHAMBERÍ,1,0,0
4,3,1,0,0,0,0,4,3,1,0,439669.0,4480526.0,FUENCARRAL-EL PARDO,1,0,0
1,1,0,0,0,0,0,1,1,0,0,448994.0,4477855.0,SAN BLAS-CANILLEJAS,1,0,0
7,7,0,0,0,0,0,7,6,1,2,440426.0,4471576.0,USERA,1,0,0
1,0,1,0,0,0,0,1,1,0,2,444071.0,4478932.0,CIUDAD LINEAL,1,0,1
5,5,0,0,0,0,0,5,2,3,1,441206.0,4469997.0,USERA,1,0,1
